Source Data,Link,,,
PIttsburgh,https://en.wikipedia.org/wiki/Pittsburgh,,,
History of Pittsburgh,https://en.wikipedia.org/wiki/History_of_Pittsburgh,,,
City of Pittsburgh webpage,https://www.pittsburghpa.gov/Home,,,
Encyclopedia Brittanica Page,https://www.britannica.com/place/Pittsburgh,,,
Visit Pittsburgh Webpage,https://www.visitpittsburgh.com/,,,
Tax Regulations ,https://pittsburghpa.gov/finance/tax-forms,,,
2024 Operating Budget,https://apps.pittsburghpa.gov/redtail/images/23255_2024_Operating_Budget.pdf,,,
About CMU & CMU History ,https://www.cmu.edu/about/,,,
PIttsburgh events calendar,https://pittsburgh.events/,,,
Downtown Pittsburgh events calendar,https://downtownpittsburgh.com/events/,,,
Pittsburgh City Paper events,https://www.pghcitypaper.com/pittsburgh/EventSearch?v=d,,,
CMU events calendar ,https://events.cmu.edu/,,,
Campus Events Page,https://www.cmu.edu/engage/alumni/events/campus/index.html,,,
Pittsburgh Symphony,https://www.pittsburghsymphony.org/,,,
Pittsburgh Opera,https://pittsburghopera.org/,,,
Pittsburgh Cultural Trust,https://trustarts.org/,,,
Carnegie Museums ,https://carnegiemuseums.org/,,,
Heinz History Center,https://www.heinzhistorycenter.org/,,,
The Frick,https://www.thefrickpittsburgh.org/,,,
American Jewish Museum,https://en.wikipedia.org/wiki/American_Jewish_Museum,,,
Carnegie Museum of Art,https://carnegieart.org/,,,
Carnegie Museum of Natural History,https://carnegiemnh.org/,,,
More Museums,https://en.wikipedia.org/wiki/List_of_museums_in_Pittsburgh,,,
Food Festivals,https://www.visitpittsburgh.com/events-festivals/food-festivals/,,,
Picklesburgh,https://www.picklesburgh.com/,,,
Pittsburgh Taco Fest,https://www.pghtacofest.com/,,,
,https://pittsburghrestaurantweek.com/,,,
Little Italy Days,https://littleitalydays.com/,,,
Banana Split Fest,https://bananasplitfest.com/,,,
Visit Pittsburgh,https://www.visitpittsburgh.com/things-to-do/pittsburgh-sports-teams/,,,
Pirates,https://www.mlb.com/pirates,,,
Steelers,https://www.steelers.com/,,,
Penguins,https://www.nhl.com/penguins/,,,
CMU Visit,https://www.cmu.edu/visit/index.html,,,
CMU Admissions,https://www.cmu.edu/student-admission/index.html,,,
CMU Leadership,https://www.cmu.edu/leadership/,,,
CMU Strategic Plan,https://www.cmu.edu/strategic-plan/,,,
CMU Inclusive Excellence,https://www.cmu.edu/inclusive-excellence/,,,
Pittsburgh Recreation and Events,https://www.pittsburghpa.gov/Recreation-Events,,,
Pittsburgh Residential Service,https://www.pittsburghpa.gov/Resident-Services,,,
Pitttsburgh City Government,https://www.pittsburghpa.gov/City-Government,,,
Pittsburgh Safety,https://www.pittsburghpa.gov/Safety,,,
Pittsburgh Business & Development,https://www.pittsburghpa.gov/Business-Development,,,